phone_code;name;country_code;created_at;updated_at;
81;Japan;;04/01/2024 00:59;04/01/2024 00:59;
962;Jordan;;04/01/2024 00:59;04/01/2024 00:59;
7;Kazakhstan;;04/01/2024 00:59;04/01/2024 00:59;
254;Kenya;;04/01/2024 00:59;04/01/2024 00:59;
686;Kiribati;;04/01/2024 00:59;04/01/2024 00:59;
850;Korea (North);;04/01/2024 00:59;04/01/2024 00:59;
82;Korea (South);;04/01/2024 00:59;04/01/2024 00:59;
965;Kuwait;;04/01/2024 00:59;04/01/2024 00:59;
996;Kyrgyz Republic;;04/01/2024 00:59;04/01/2024 00:59;
856;Laos;;04/01/2024 00:59;04/01/2024 00:59;
371;Latvia;;04/01/2024 00:59;04/01/2024 00:59;
961;Lebanon;;04/01/2024 00:59;04/01/2024 00:59;
266;Lesotho;;04/01/2024 00:59;04/01/2024 00:59;
231;Liberia;;04/01/2024 00:59;04/01/2024 00:59;
218;Libya;;04/01/2024 00:59;04/01/2024 00:59;
423;Liechtenstein;;04/01/2024 00:59;04/01/2024 00:59;
370;Lithuania;;04/01/2024 00:59;04/01/2024 00:59;
352;Luxembourg;;04/01/2024 00:59;04/01/2024 00:59;
853;Macao;;04/01/2024 00:59;04/01/2024 00:59;
389;Macedonia (Former Yugoslav Rep of.);;04/01/2024 00:59;04/01/2024 00:59;
261;Madagascar;;04/01/2024 00:59;04/01/2024 00:59;
265;Malawi;;04/01/2024 00:59;04/01/2024 00:59;
60;Malaysia;;04/01/2024 00:59;04/01/2024 00:59;
960;Maldives;;04/01/2024 00:59;04/01/2024 00:59;
223;Mali Republic;;04/01/2024 00:59;04/01/2024 00:59;
356;Malta;;04/01/2024 00:59;04/01/2024 00:59;
692;Marshall Islands;;04/01/2024 00:59;04/01/2024 00:59;
596;Martinique;;04/01/2024 00:59;04/01/2024 00:59;
222;Mauritania;;04/01/2024 00:59;04/01/2024 00:59;
230;Mauritius;;04/01/2024 00:59;04/01/2024 00:59;
262;Mayotte Island;;04/01/2024 00:59;04/01/2024 00:59;
52;Mexico;;04/01/2024 00:59;04/01/2024 00:59;
691;Micronesia, (Federal States of);;04/01/2024 00:59;04/01/2024 00:59;
+1-808*;Midway Island;;04/01/2024 00:59;04/01/2024 00:59;
373;Moldova;;04/01/2024 00:59;04/01/2024 00:59;
377;Monaco;;04/01/2024 00:59;04/01/2024 00:59;
976;Mongolia;;04/01/2024 00:59;04/01/2024 00:59;
382;Montenegro;;04/01/2024 00:59;04/01/2024 00:59;
+1-664*;Montserrat;;04/01/2024 00:59;04/01/2024 00:59;
212;Morocco;;04/01/2024 00:59;04/01/2024 00:59;
258;Mozambique;;04/01/2024 00:59;04/01/2024 00:59;
95;Myanmar;;04/01/2024 00:59;04/01/2024 00:59;
264;Namibia;;04/01/2024 00:59;04/01/2024 00:59;
674;Nauru;;04/01/2024 00:59;04/01/2024 00:59;
977;Nepal;;04/01/2024 00:59;04/01/2024 00:59;
31;Netherlands;;04/01/2024 00:59;04/01/2024 00:59;
599;Netherlands Antilles;;04/01/2024 00:59;04/01/2024 00:59;
+1-869*;Nevis;;04/01/2024 00:59;04/01/2024 00:59;
687;New Caledonia;;04/01/2024 00:59;04/01/2024 00:59;
64;New Zealand;;04/01/2024 00:59;04/01/2024 00:59;
505;Nicaragua;;04/01/2024 00:59;04/01/2024 00:59;
227;Niger;;04/01/2024 00:59;04/01/2024 00:59;
234;Nigeria;;04/01/2024 00:59;04/01/2024 00:59;
683;Niue;;04/01/2024 00:59;04/01/2024 00:59;
672;Norfolk Island;;04/01/2024 00:59;04/01/2024 00:59;
+1-670*;Northern Marianas Islands;;04/01/2024 00:59;04/01/2024 00:59;
47;Norway;;04/01/2024 00:59;04/01/2024 00:59;
968;Oman;;04/01/2024 00:59;04/01/2024 00:59;
92;Pakistan;;04/01/2024 00:59;04/01/2024 00:59;
680;Palau;;04/01/2024 00:59;04/01/2024 00:59;
970;Palestine;;04/01/2024 00:59;04/01/2024 00:59;
507;Panama;;04/01/2024 00:59;04/01/2024 00:59;
675;Papua New Guinea;;04/01/2024 00:59;04/01/2024 00:59;
595;Paraguay;;04/01/2024 00:59;04/01/2024 00:59;
51;Peru;;04/01/2024 00:59;04/01/2024 00:59;
63;Philippines;;04/01/2024 00:59;04/01/2024 00:59;
48;Poland;;04/01/2024 00:59;04/01/2024 00:59;
351;Portugal;;04/01/2024 00:59;04/01/2024 00:59;
262;R̩union Island;;04/01/2024 00:59;04/01/2024 00:59;
974;Qatar;;04/01/2024 00:59;04/01/2024 00:59;
+1-787* or +1-939*;Puerto Rico;;04/01/2024 00:59;04/01/2024 00:59;
40;Romania;;04/01/2024 00:59;04/01/2024 00:59;
7;Russia;;04/01/2024 00:59;04/01/2024 00:59;
250;Rwandese Republic;;04/01/2024 00:59;04/01/2024 00:59;
290;St. Helena;;04/01/2024 00:59;04/01/2024 00:59;
+1-869*;St. Kitts/Nevis;;04/01/2024 00:59;04/01/2024 00:59;
+1-758*;St. Lucia;;04/01/2024 00:59;04/01/2024 00:59;
508;St. Pierre & Miquelon;;04/01/2024 00:59;04/01/2024 00:59;
+1-784*;St. Vincent & Grenadines;;04/01/2024 00:59;04/01/2024 00:59;
685;Samoa;;04/01/2024 00:59;04/01/2024 00:59;
378;San Marino;;04/01/2024 00:59;04/01/2024 00:59;
239;Ṣo Tom̩ and Principe;;04/01/2024 00:59;04/01/2024 00:59;
966;Saudi Arabia;;04/01/2024 00:59;04/01/2024 00:59;
221;Senegal;;04/01/2024 00:59;04/01/2024 00:59;
381;Serbia;;04/01/2024 00:59;04/01/2024 00:59;
248;Seychelles Republic;;04/01/2024 00:59;04/01/2024 00:59;
232;Sierra Leone;;04/01/2024 00:59;04/01/2024 00:59;
